id,status,outer_qty,inner_qty,common_unit,item_name,pack_string,vendor,sku,parsed_pack,override_values
7cddb542-b425-4c95-8394-3dea61a4a99a,approved,1,3,lb,Spring Mix,1/3 LB,produce_alliance,5579,,
52e097fc-e043-43a5-8dbe-c95ef935a10d,approved,4,3,lb,Spring Mix,4/3 LB,produce_alliance,2225,,
5e0f7f29-5539-4108-ae07-5eeff5eb2aff,approved,1,1000,ea,Forks,1/1000CT,pfg,705219,,
4eef9ba3-9af0-4c18-a2f1-2fa87a59f54f,approved,24,20,oz,Diet Coke Bottle 20oz,24/20OZ,pfg,18705,,
c2d69671-448c-408c-9ee0-f5c6f1799673,approved,1,150,ea,TOWEL WIPER BLUE FULL-SIZE HEAVY ANTIMICROBIAL,1/150CT,pfg,968717,,
d8b8354b-676b-406b-aec3-4ad7e88528e7,approved,12,6,oz,Blueberries,12/6 OZ,produce_alliance,1504,,
a3fbd3b5-7d16-41ac-a635-ac4dc6f5d96c,approved,4,2.5,lb,Baby Spinach,4/2.5 LB,produce_alliance,1250,,
50e7c73d-638f-43b9-a3d5-5e41ae290efa,approved,4,1,lb,Cilantro,4/1 LB,produce_alliance,5090,,
84b0d121-ea66-4a32-afdc-ebac624b8a66,approved,3,,ea,Blueberries,3 CT,produce_alliance,1528,,
e306d2c0-6693-418d-94c6-89ba9ca80fec,approved,6,,ea,Blueberries,6 CT,produce_alliance,1505,,
24657cc1-3f2a-4817-b4d7-d364e4d40831,approved,1,2,lb,Romaine Lettuce (Bag),1/2 LB,produce_alliance,5600,,
7f29dfe2-bfe9-4285-8cee-0ada032e5f3b,approved,4,1,lb,Strawberries,4/1 LB,produce_alliance,1542,,
bfb985dc-0d71-4d52-81dd-223832d2aa8c,approved,8,1,lb,Strawberries,8/1 LB,produce_alliance,1286,,
6740973a-8361-4974-82df-a7f5dc30fb4d,approved,1,150,ea,Cup Carriers,1/150CT,pfg,419687,,
7abb09ba-f01c-4de9-bee2-2bd99dcd1423,approved,4,75,ea,Side Salad Container,4/75CT,pfg,803786,,
24d6f709-cffb-4c2c-a8e4-19278dd3a258,approved,24,500,ml,Pellegrino Glass Bottle 500ml,24/500ML,pfg,936710,,
7116dea9-f1a3-4bb6-aaf1-602ef9bc0bc8,approved,12,500,ea,"Orange ""Sealed Hot"" Labels",12/500RL,pfg,899097,,
cb6f2daa-459c-4f0e-8b2a-44ebd3388021,approved,1,2.5,ga,Fanta Orange BIB 2.5g,1/2.5GA,pfg,983742,,
68ed6528-9232-4713-b012-03c8d0aee525,approved,6,1,qt,Enzyme Drain Cleaner (Bottle),6/1QT,pfg,243611,,
3eaeeac6-6569-490c-a94c-8bf6f70bf77c,approved,10,10,ea,CAN LINER 60 GALLON HEAVY_WEIGHT BLACK 38X58,10/10CT,pfg,585573,,
922c9cc4-85ba-4cea-bf98-00e35330f76e,approved,24,20,oz,Coke Zero Bottle 20oz,24/20OZ,pfg,290192,,
bd2b86d7-1192-4530-9544-058185cf025a,approved,2000,1,g,Equal Sweetener Packets,2000/1GM,pfg,27553,,
d124adb1-46cb-4c0e-aa5c-26bf70289e1c,approved,1,5,lb,Green Bell Peppers,1/5 LB,produce_alliance,111799,,
e5b7e3a6-297c-457d-8cc2-49e1d3ea689a,approved,1,5,gal,Dr. Pepper BIB 5g,1/5 GA,pfg,47772,,
2ba7ae78-0707-4834-98a1-2e11a2277b02,approved,1,25,lb,Granulated Sugar Bulk,1/25 LB,pfg,56920,,
843a2ec2-06a4-4e2c-bb0d-a7a8d38eace8,approved,24,12,oz,Mexican Fanta 12oz,24/12 OZ,pfg,370560,,
54985b0d-28aa-45db-9541-01517f33efe3,approved,6,2.5,kg,Roasted Red Peppers (Pouch),6/2.5KG,pfg,1019445,,
247a83f0-ff86-4b69-b1eb-5f4c267025b8,approved,6,106,oz,Spicy Red Sauce (Pouch),6/106OZ,pfg,1047357,,
a26e50e5-7736-48e5-a111-274fc67a49b3,approved,10,10,ea,Trash Can Liners 60 Gallon,10/10 CT,pfg,194629,,
